homeTeam,homeFirstQuater,homeSecondQuater,homeThirdQuater,homeFourthQuater,homeOTQuater,homeTotalScore,awayTeam,awayFirstQuater,awaySecondQuater,awayThirdQuater,awayFourthQuater,awayOTQuater,awayTotalScore,date,preseason,postseason
Jaguars,6,3,0,9,0,18,Panthers,0,6,10,0,0,16,1:2001:True:False,True,False
Lions,7,10,7,0,0,24,Bengals,0,10,7,10,0,27,1:2001:True:False,True,False
Patriots,3,3,3,5,0,14,Giants,0,0,0,0,0,0,1:2001:True:False,True,False
Colts,3,8,14,3,0,28,Seahawks,7,7,7,0,0,21,1:2001:True:False,True,False
Titans,7,6,7,7,0,27,Bears,7,3,0,14,0,24,1:2001:True:False,True,False
Saints,7,0,7,7,0,21,Vikings,7,14,0,7,0,28,1:2001:True:False,True,False
Browns,0,7,3,0,0,10,Packers,0,3,0,0,0,3,1:2001:True:False,True,False
Jets,0,7,3,0,0,10,Falcons,0,10,7,3,0,20,1:2001:True:False,True,False
Cowboys,0,0,3,3,0,6,Broncos,6,7,0,7,0,20,1:2001:True:False,True,False
Cardinals,0,0,0,7,0,7,Raiders,3,7,0,0,0,10,1:2001:True:False,True,False
Chargers,14,0,0,11,0,25,49ers,7,7,0,10,0,24,1:2001:True:False,True,False
Bills,0,7,3,0,0,10,Rams,0,7,0,17,0,24,1:2001:True:False,True,False
Chiefs,10,10,0,0,0,20,Redskins,0,0,0,0,0,0,1:2001:True:False,True,False
Buccaneers,0,7,0,7,0,14,Dolphins,10,0,0,7,0,17,1:2001:True:False,True,False
Vikings,0,17,0,7,0,24,Steelers,7,0,3,0,0,10,2:2001:True:False,True,False
Giants,10,10,0,7,0,27,Jaguars,0,0,0,5,0,5,2:2001:True:False,True,False
Rams,7,0,3,0,0,10,Titans,7,6,7,3,0,23,2:2001:True:False,True,False
Redskins,0,6,0,0,0,6,Falcons,17,7,0,3,0,27,2:2001:True:False,True,False
Dolphins,7,10,0,3,0,20,Chargers,10,0,7,3,3,23,2:2001:True:False,True,False
Colts,14,0,9,3,0,26,Lions,0,17,0,10,0,27,2:2001:True:False,True,False
Panthers,0,0,8,0,0,8,Patriots,3,7,6,7,0,23,2:2001:True:False,True,False
Bills,0,6,0,0,0,6,Eagles,0,0,0,3,0,3,2:2001:True:False,True,False
Jets,3,3,3,7,0,16,Ravens,0,3,0,0,0,3,2:2001:True:False,True,False
Browns,0,7,0,0,0,7,Buccaneers,3,3,0,0,0,6,2:2001:True:False,True,False
Saints,7,3,3,3,0,16,Cowboys,0,3,0,7,0,10,2:2001:True:False,True,False
Chiefs,0,7,3,0,0,10,Bears,0,3,3,3,0,9,2:2001:True:False,True,False
Seahawks,0,13,0,0,0,13,Cardinals,7,0,3,3,3,16,2:2001:True:False,True,False
49ers,7,6,0,7,0,20,Raiders,0,14,3,0,0,17,2:2001:True:False,True,False
Packers,3,0,16,3,0,22,Broncos,0,7,0,0,0,7,2:2001:True:False,True,False
Ravens,3,14,0,0,0,17,Panthers,0,10,7,3,0,20,3:2001:True:False,True,False
Jaguars,7,0,14,7,0,28,Chiefs,3,17,3,0,0,23,3:2001:True:False,True,False
Titans,7,0,0,7,0,14,Eagles,0,17,3,0,0,20,3:2001:True:False,True,False
Redskins,0,7,7,13,0,27,Browns,7,7,0,11,0,25,3:2001:True:False,True,False
Vikings,0,14,7,7,0,28,Colts,10,0,8,3,0,21,3:2001:True:False,True,False
Steelers,7,3,3,7,0,20,Lions,0,0,0,7,0,7,3:2001:True:False,True,False
Buccaneers,0,7,6,7,0,20,Patriots,0,3,0,0,0,3,3:2001:True:False,True,False
Bengals,3,7,0,0,0,10,Bills,2,10,0,8,0,20,3:2001:True:False,True,False
Giants,0,0,7,7,0,14,Jets,7,7,0,3,0,17,3:2001:True:False,True,False
Packers,10,0,0,7,0,17,Dolphins,0,6,6,0,0,12,3:2001:True:False,True,False
Bears,0,0,17,3,0,20,Cardinals,0,14,0,10,0,24,3:2001:True:False,True,False
49ers,0,7,3,8,0,18,Seahawks,21,0,0,7,0,28,3:2001:True:False,True,False
Broncos,7,10,7,7,0,31,Saints,7,0,14,3,0,24,3:2001:True:False,True,False
