Week,Rams,Redskins,Cowboys,Jaguars,Falcons,Bengals,Cardinals,Ravens,Eagles,Lions,Broncos,Browns,Chargers,Packers,Raiders,Saints,Panthers,Giants,Dolphins,Bears,Chiefs,Jets,49ers,Steelers,Colts,Seahawks,Buccaneers,Titans,Bills,Texans,Patriots,Vikings
1,1475.3759622576947,1533.4677256442044,1512.6653733326348,1370.6946358055245,1442.7386360625255,1502.79454097329,1491.370292062538,1499.394011556664,1431.5495098532965,1482.3020716949222,1541.479568855879,1495.9068875502346,1548.564353220854,1542.5139003381435,1486.6104862064976,1560.6166158958779,1595.386734949887,1497.8857390664818,1541.010182026743,1535.037270907734,1506.7241420988405,1464.1888183095432,1557.0176464023527,1476.7014656127615,1519.4717293430715,1543.0174550713089,1437.1526732480127,1479.4101623048336,1455.913134508443,1478.317375102444,1554.7958492601401,1439.9250504766217
2,1469.6084606446743,1473.119672563124,1521.576182685402,1388.7805238389458,1453.8185752291643,1482.8911809703961,1511.2626846981343,1433.7447271129156,1491.897562934377,1465.6979157663538,1558.5518897647275,1515.8102475531284,1565.5377691102278,1524.8061753264203,1502.602697663781,1578.324340907601,1611.9908908784555,1503.6532406795022,1538.8664503090195,1523.9573317410952,1488.6382540654192,1443.0419455838753,1539.9453254935042,1460.7092541554778,1521.615461060795,1523.1250624357126,1502.8019576917611,1470.4993529520664,1470.1462710636679,1461.34395921307,1575.942721985808,1425.6919139213967
3,1461.7031221114862,1456.9961035248716,1484.6899580325232,1388.7805238389458,1506.2664040350555,1430.4433521645049,1517.7678908192222,1433.7447271129156,1528.7837875872558,1466.9413514429555,1557.839353339919,1529.2179633448907,1559.03256298914,1523.5627396498187,1502.602697663781,1581.6672754344686,1590.400955371511,1512.0660352056477,1551.9937358405373,1520.6143972142277,1497.7624217525506,1429.9146600523575,1556.0688945317565,1460.7092541554778,1538.8708150651632,1514.7122679095671,1510.7072962249492,1457.0916371603041,1470.8588074884765,1444.088605208702,1566.8185542986766,1447.2818494283413
4,1465.112288348116,1456.9961035248716,1481.2807917958935,1427.1501931332941,1506.2664040350555,1411.3685771259293,1534.0667644551745,1429.0157426279452,1538.2210281384635,1485.10637657516,1562.5683378248893,1507.1879989182569,1574.8090434835149,1542.596896091539,1517.1956665320286,1563.502250302264,1571.3667989297905,1495.7671615696954,1531.68559119446,1495.5661361776283,1518.070566398628,1391.5449907580091,1556.0688945317565,1482.7392185821116,1538.8708150651632,1499.068069204104,1529.7820712635248,1442.4986682920567,1495.9070685250758,1434.6513646574942,1551.0420738043017,1462.9260481338044
5,1471.3181973197863,1492.815990847088,1481.4030476835487,1444.5299622651867,1487.0033816994317,1428.992194804886,1540.461157824075,1457.1746996077077,1520.841259006571,1485.10637657516,1576.413200370063,1479.0290419384944,1560.9641809383413,1549.6140101905473,1536.582193825586,1555.2826018190435,1564.9724055608901,1495.6449056820402,1554.688178392356,1488.54902207862,1511.562250436906,1398.0533067197312,1549.8629855600861,1490.958867065332,1521.2471973862066,1499.068069204104,1549.0450935991487,1406.6787809698403,1476.5205412315183,1434.6513646574942,1528.0394866064057,1462.9260481338044
6,1489.7966686873672,1476.6061683395778,1478.1450688072607,1423.3757562390044,1496.9620918870805,1397.3806197766148,1540.461157824075,1465.7255925384845,1520.841259006571,1467.5035500165307,1590.058994856968,1458.2257343284823,1543.4395057894358,1569.261899104625,1518.1037224580052,1571.4924243265536,1568.2303844371781,1485.6861954943913,1541.0423839054508,1488.54902207862,1529.0869255858115,1398.0533067197312,1554.5942458237944,1522.570442093603,1512.6963044554298,1494.3368089403957,1569.8484012091608,1427.8329869960226,1485.3068428701827,1425.86506301883,1508.391597692328,1480.5288746924339
7,1518.1618688353883,1477.7617081075448,1464.1247412345929,1431.5869153529034,1564.0411935003651,1397.3806197766148,1554.4814853967428,1457.5144334245856,1553.0629175983736,1496.9516280570572,1590.9166491337173,1472.817334104573,1561.7526436854018,1568.106359336658,1499.7905845620394,1568.0322479566232,1501.1512828238936,1485.6861954943913,1497.8868396164903,1459.1009440380935,1528.2292713090621,1444.5029100735453,1558.0544221937248,1538.270286715878,1496.9964598331549,1465.9716087923746,1537.626742617358,1427.8329869960226,1528.4623871591432,1411.2734632427391,1508.391597692328,1434.0792713386197
8,1518.1618688353883,1486.4241810022156,1462.930827919117,1426.4273162943687,1565.0725193171572,1403.023883547688,1553.1971224518738,1472.1147313827726,1574.9238560208478,1495.814947559582,1574.553162598148,1485.786221182314,1561.7526436854018,1568.106359336658,1474.9652116050595,1567.0009221398311,1506.703350094259,1463.8252570719171,1497.8868396164903,1443.3685589075847,1553.054644266042,1431.5340229958044,1559.3387851385937,1523.669988757691,1488.333986938484,1467.1655221078504,1532.0746753469928,1422.1897232249494,1529.5990676566184,1416.4330623012738,1524.7550842278974,1449.8116564691286
9,1540.8980558565065,1500.6399152756437,1460.0439895586803,1415.189207529554,1549.0080334019126,1440.819038749021,1530.4609354307556,1488.1792172980172,1581.120476832387,1498.7017859200187,1574.553162598148,1492.2397017205233,1512.5951842682787,1568.88762446929,1471.8103974464623,1567.0009221398311,1506.703350094259,1475.0633658367317,1497.1055744838584,1437.1719380960453,1553.054644266042,1480.6914824129276,1562.493599297191,1517.2165082194817,1454.066179977607,1452.9497878344223,1531.2270020534547,1456.4575301858265,1483.962697933786,1378.6379070999408,1570.3914539507298,1450.6593297626666
10,1539.1769197342983,1455.432661764463,1460.0439895586803,1460.3964610407347,1536.3234985943157,1439.8654219437528,1502.4206599503696,1489.1328341032854,1552.1818870208613,1502.7904335551434,1522.3917129913684,1492.2397017205233,1514.316320390487,1564.7989768341652,1523.9718470532418,1572.2592575900205,1501.4450146440695,1488.0770633696102,1481.0274715421353,1451.8479448347057,1566.1699541538817,1496.7695853546509,1549.3782894093513,1529.9010430270787,1483.0047697891328,1480.9900633148084,1531.2270020534547,1454.925740410281,1483.962697933786,1380.1696968754864,1555.7154472120694,1437.6456322297881
